instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,a,1,0.7477,,,,,,,,,0.7477,1,0,25,25,18,1,stimuli/blank.png,human,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6549,,,,,,,,,0.6549,1,0,26,26,2,1,stimuli/blank.png,ihr,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6993,,,,,,,,,0.6993,1,0,27,27,37,1,stimuli/blank.png,eitel,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5347,,,,,,,,,0.5347,1,0,28,28,3,1,stimuli/blank.png,mir,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5523,,,,,,,,,0.5523,1,0,29,29,11,1,stimuli/blank.png,brutal,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6523,,,,,,,,,0.6523,1,0,30,30,16,1,stimuli/blank.png,begabt,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6593,,,,,,,,,0.6593,1,0,31,31,7,1,stimuli/blank.png,eigene,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.569,,,,,,,,,0.569,1,0,32,32,22,1,stimuli/blank.png,ihr,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5474,,,,,,,,,0.5474,1,0,33,33,13,1,stimuli/blank.png,verlogen,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6683,,,,,,,,,0.6683,1,0,34,34,23,1,stimuli/blank.png,mir,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6078,,,,,,,,,0.6078,1,0,35,35,26,1,stimuli/blank.png,euch,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.4861,,,,,,,,,0.4861,1,0,36,36,20,1,stimuli/blank.png,andere,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6005,,,,,,,,,0.6005,1,0,37,37,24,1,stimuli/blank.png,jene,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5231,,,,,,,,,0.5231,1,0,38,38,8,1,stimuli/blank.png,eure,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5771,,,,,,,,,0.5771,1,0,39,39,9,1,stimuli/blank.png,selbst,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.7176,,,,,,,,,0.7176,1,0,0,0,16,1,stimuli/blank.png,euch,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.4694,,,,,,,,,0.4694,1,0,1,1,0,1,stimuli/blank.png,andere,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,0,0.4905,,,,,,,,,0.4905,0,0,2,2,7,1,stimuli/blank.png,eigene,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5191,,,,,,,,,0.5191,1,0,3,3,19,1,stimuli/blank.png,selbst,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.4065,,,,,,,,,0.4065,1,0,4,4,13,1,stimuli/blank.png,mir,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5699,,,,,,,,,0.5699,1,0,5,5,15,1,stimuli/blank.png,meine,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.769,,,,,,,,,0.769,1,0,6,6,14,1,stimuli/blank.png,jene,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5012,,,,,,,,,0.5012,1,0,7,7,4,1,stimuli/blank.png,jene,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
