instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,,,0,0.45,-0.325609756,1,0,0,0.558,button_right,0.558,1,0,28,28,15,1,stimuli/blank.png,träge,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.474390244,-0.332926829,1,0,0,0.574,button_left,0.574,1,0,29,29,18,1,stimuli/blank.png,human,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.479268293,-0.326829268,1,0,0,0.599,button_left,0.599,1,0,30,30,36,1,stimuli/blank.png,begabt,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.456097561,-0.325609756,1,0,0,0.533,button_right,0.533,1,0,31,31,31,1,stimuli/blank.png,brutal,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.456097561,-0.32804878,1,0,0,0.523,button_right,0.523,1,0,32,32,35,1,stimuli/blank.png,träge,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.458536585,-0.323170732,1,0,0,0.532,button_right,0.532,1,0,33,33,17,1,stimuli/blank.png,eitel,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.479268293,-0.32804878,1,0,0,0.857,button_left,0.857,1,0,34,34,34,1,stimuli/blank.png,gerecht,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.452439024,-0.323170732,1,0,0,0.573,button_right,0.573,1,0,35,35,24,1,stimuli/blank.png,jene,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.451219512,-0.323170732,1,0,0,0.55,button_right,0.55,1,0,36,36,28,1,stimuli/blank.png,eure,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.469512195,-0.335365854,1,0,0,0.573,button_left,0.573,1,0,37,37,16,1,stimuli/blank.png,begabt,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
