"id","npi_1","npi_2","npi_3","npi_4","npi_5","npi_6","npi_7","npi_8","npi_9","npi_10","npi_11","npi_12","npi_13","npi_1r","npi_2r","npi_3r","npi_4r","npi_5r","npi_6r","npi_7r","npi_8r","npi_9r","npi_10r","npi_11r","npi_12r","npi_13r","gnpi_la","gnpi_ge","gnpi_ee","gnpi"
"SE04TO",2,2,1,2,1,2,1,1,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.0769230769230769
"RF04PT",2,2,1,1,1,1,1,2,2,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0.25,0.2,0,0.153846153846154
"SN01WL",2,2,1,2,2,2,2,2,1,1,2,2,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0.25,0.461538461538462
"RT12RL",2,2,1,2,1,1,2,1,1,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.4,0.25,0.230769230769231
"UR07RL",2,2,1,2,1,1,1,2,2,1,2,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.2,0.25,0.153846153846154
"UR05RL",2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0.25,0.2,0.25,0.230769230769231
"HL03PT",1,2,2,2,1,1,2,1,1,1,2,2,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0.5,0.4,0.5,0.461538461538462
"AE03TO",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SS09JH",2,2,1,2,1,2,1,2,1,1,2,2,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0.6,0.25,0.307692307692308
"JN06AM",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HI05MR",1,2,2,2,1,1,2,1,1,1,2,2,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0.5,0.4,0.5,0.461538461538462
"OA03VL",2,2,1,1,1,2,1,1,2,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0.2,0,0.153846153846154
